,Name,Type,Alias,Rating,Num_Reviews,THC%,Other_Cannabinoids,Main_Effect,Terpene
1048,Flo White,Hybrid,aka Flow White,4.5,29,THC 15%,CBD 1%,Energetic,Myrcene
1049,Alien Rift,Indica,NA,4.5,57,THC 19%,CBG 1%,Hungry,Myrcene
1050,Hell Cat,Hybrid,aka Hellcat,4.7,7,THC —,CBD —,Uplifted,
1051,Chemo,Indica,"aka UBC Chemo, Kemo",4.4,245,THC 27%,CBG 1%,Sleepy,Caryophyllene
1052,Night Terror,Indica,aka Night Terror OG,4.6,137,THC 19%,CBG 1%,Sleepy,Myrcene
1053,Comatose OG,Indica,aka Comatose,4.7,9,THC —,CBD —,Tingly,
1054,Alien Breath,Hybrid,NA,4.8,12,THC 22%,CBG 1%,Sleepy,Limonene
1055,Rare Dankness #1,Indica,"aka House of Dankness, Rare Dankness",4.8,32,THC 12%,CBD 0%,Giggly,Caryophyllene
1056,Sunset Octane,Hybrid,NA,4.8,16,THC —,CBD —,Euphoric,
1057,Kashmir Kush,Indica,NA,4.6,35,THC 11%,CBG 1%,Relaxed,Terpinolene
1058,Medusa,Hybrid,NA,4.0,73,THC 14%,CBD 0%,Sleepy,Myrcene
1059,Diamond Dust,Hybrid,NA,4.7,31,THC 23%,CBG 1%,Energetic,Limonene
1060,Deep Breath,Hybrid,NA,4.8,10,THC 14%,CBG 3%,Hungry,Ocimene
1061,Mango Sapphire,Hybrid,NA,4.7,32,THC 24%,CBG 1%,Happy,Caryophyllene
1062,Peach OG,Hybrid,NA,4.8,8,THC 18%,CBD 0%,Energetic,Limonene
1063,Holy Grail,Hybrid,NA,4.4,27,THC 20%,CBG 1%,Tingly,Myrcene
1064,Tropicali,Hybrid,"aka Tropicali OG, Tropicali Kush",4.3,41,THC 18%,CBD 0%,Aroused,Myrcene
1065,Captain America OG,Hybrid,NA,4.6,33,THC —,CBD —,Euphoric,
1066,Vortex,Sativa,NA,4.3,278,THC 17%,CBG 1%,Energetic,Caryophyllene
1067,Viper Cookies,Hybrid,NA,4.5,15,THC 18%,CBG 1%,Tingly,Caryophyllene
1068,Lemon Butter,Hybrid,NA,4.8,14,THC 19%,CBG 1%,Hungry,Terpinolene
1069,Alien Mints,Hybrid,NA,4.5,8,THC 23%,CBD 0%,Aroused,Limonene
1070,Eleven Roses,Indica,aka 11 Roses,4.5,63,THC —,CBD —,Sleepy,
1071,Biscotti Gelato,Hybrid,NA,4.5,15,THC —,CBD —,Euphoric,
1072,Purple Pineapple Express,Hybrid,aka Pineapple Purple Skunk,4.3,31,THC 20%,CBG 1%,Hungry,Ocimene
1073,Black Magic Kush,Indica,NA,4.5,19,THC —,CBD —,Sleepy,
1075,Money Maker,Indica,"aka Money Bush, Money Kush",4.5,67,THC 10%,CBD 0%,Sleepy,Myrcene
1076,Purple Queen,Hybrid,NA,4.5,10,THC 22%,CBG 1%,Giggly,Caryophyllene
1077,Guava Biscotti,Hybrid,NA,4.6,5,THC —,CBD —,Focused,
