Strain,Type,Rating,Effects,Flavor,Description,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
Chernobyl,hybrid,4.4,"Happy,Euphoric,Relaxed,Energetic,Uplifted","Citrus,Lime,Lemon","Chernobyl is a sativa-dominant hybrid strain that carries a unique lime sherbet smell. Originally bred by TGA Genetics, this citrusy strain descends from Trainwreck, Jack the Ripper, and Trinity. Expect dreamy, long-lasting cerebral effects that will float you to a happy mood and relaxed mindsets. ",,,,,,0.026,0.004,0.002,0.0,0.0,0.03,0.0,0.01,0.007,0.519,0.017,0.023,0.051,0.015,0.088,0.264,,0.081,0.154,0.01,0.0,,0.38,0.0,10.2,0.04,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.0,
Cherry-Bomb,hybrid,4.3,"Focused,Talkative,Happy,Uplifted,Relaxed","Berry,Pungent,Skunk","Cherry Bomb is a popular marijuana strain thanks to its reputation as a great hybrid that provides mild to moderate effects that are appropriate for daytime consumption. Their bright green flowers do take off fast, giving many consumers that telltale pressure behind the eyes that's usually an indicator of a strong sativa buzz to come. The immediate effects are active and mentally alert, but can border on antsy for some. This feeling tends to smooth into a more focused state that allows for normal activities and may even help you tackle that to-do list or next creative project. The genetics of this strain are dependent on which version you get, but a popular variant is a cross between a California indica (most likely with some Skunk lineage) and a Hawaiian sativa that was created by breeders at Barney’s Farms. Cherry Bomb’s flowers will have a musky, berry aroma and a mild but similar flavor.",,,,,,0.0,0.008,0.023,0.0,0.0,0.0,0.0,0.06,0.123,0.009,0.065,0.17,0.489,0.0,0.563,1.752,,0.124,0.125,0.0,0.0,,1.93,0.0,15.17,0.0,0.0,0.02,0.0,0.0,0.0,0.24,0.04,0.06,
Cherry-Cookies,hybrid,4.6,"Happy,Uplifted,Euphoric,Relaxed,Focused","Sweet,Berry,Pungent","Cherry Cookies is one of the most popular Girl Scout Cookie crosses to date, ranking next to Pink Cookies and Thin Mint Girl Scout Cookies. With similar genetic parentage, Cherry Cookies derives from the blending of Cherry Pie (aka Cherry Kush) and Cookies F2. This cross preserves the tight, slightly purple buds and deep orange pistils while accentuating the cherry tang and tartness on the nose and exhale. This strain behaves like a GSC, offering a medical-grade sedation on the body with an alert mental state.",,,,,,0.0,0.005,0.023,0.001,0.001,0.0,0.0,0.063,0.001,0.004,0.073,0.354,0.019,0.0,0.908,0.068,,0.034,0.224,0.0,0.0,,1.13,0.0,18.86,0.0,0.0,0.07,0.0,0.0,0.0,1.59,0.07,0.0,
Cherry-Kush,hybrid,4.2,"Relaxed,Uplifted,Euphoric,Happy,Creative","Sweet,Berry,Earthy","A cross between Purple Afghani and OG Kush, Cherry Kush is a very potent indica-dominant hybrid that has become very popular with medical patients in the SF Bay Area. Sometimes called Cherry Pie, these flowers range from a bright, vibrant green to a darker, purple-tinged red color, and boast a dense coating of trichomes. The flavor is reminiscent of cherries with a woody, hashy undertone, and the high starts out as stimulating and cerebral before fading into a deep feeling of relaxation.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234,0.0,0.0,0.074,0.333,0.027,0.0,1.171,0.367,,0.054,0.426,0.0,0.0,,0.63,0.0,17.92,0.0,0.0,0.05,0.0,0.0,0.0,1.31,0.06,0.01,
Cherry-Og,hybrid,4.2,"Euphoric,Relaxed,Happy,Uplifted,Hungry","Berry,Diesel,Sweet","Cherry OG by Emerald Triangle Seeds is a hybrid cannabis strain bred by combining Cherry Thai, Afghani, and Lost Coast OG genetics. A 50/50 hybrid, Cherry OG truly brings you the best of both sativa and indica worlds as it delivers full-body euphoria alongside high-flying cerebral lucidity. While its name sets expectations of a fruity cherry aroma, this strain can sometimes express more sour and diesel-like flavors. ",,,,,,0.0,0.014,0.009,0.001,0.008,0.007,0.0,0.121,0.002,0.008,0.055,0.075,0.049,0.0,0.256,0.573,,0.096,0.449,0.0,0.0,,0.42,0.0,24.69,0.0,0.0,0.06,0.0,0.0,0.0,0.35,0.06,0.0,
Cherry-Pie,hybrid,4.4,"Happy,Relaxed,Euphoric,Uplifted,Focused","Sweet,Berry,Earthy","Cherry Pie's parents are Granddaddy Purple and Durban Poison. With buds that are dense and full of orange hairs and a touch of purple, this strain smells of sweet and sour cherry pie. The effects have been known to come on in minutes and stick around for a couple hours. ",,,,,,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.178,0.0,0.0,0.019,0.144,0.029,0.0,0.499,0.211,,0.048,0.262,0.0,0.0,,0.65,0.0,19.19,0.0,0.0,0.05,0.0,0.0,0.0,0.59,0.09,0.0,
Chiesel,hybrid,4.4,"Happy,Euphoric,Relaxed,Uplifted,Focused","Diesel,Pungent,Cheese","Big Buddha Cheese and NYC Diesel come together to form the Chiesel cannabis variety. Strong smell is to be expected considering its lineage, and Chiesel provides a euphoric and functional stone. Chiesel has been known to produce a very high yield under optimum conditions.",,,,,,0.0,0.018,0.008,0.0,0.0,0.0,0.0,0.155,0.0,0.01,0.129,0.229,0.066,0.0,0.581,0.599,,0.128,0.737,0.0,0.0,,0.38,0.0,22.78,0.0,0.0,0.03,0.0,0.0,0.0,0.33,0.12,0.0,
Chiquita-Banana,hybrid,4.9,"Happy,Euphoric,Uplifted,Relaxed,Creative","Sweet,Orange,Lemon","Chiquita Banana by Utoptia Farms takes the Banana OG cut to the next level, with an average THC percentage pushing 33%. A cross between parent strains OG Kush and Banana, Chiquita Banana leads with a potent heady sizzle (likely brought on by the enormous quantity of THC) which then melds into a Kush-esque body buzz that is relaxing but not sedative. These Kush effects continue to gain potency over time, “creeping” over the body. This powerful hybrid is an outstanding option for patients struggling to hurdle their tolerance barrier, and its effects are also well-suited for those suffering from chronic pain or nausea.",,,,,,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.06,0.218,0.021,0.0,0.248,0.197,0.0,0.907,1.061,,0.305,1.938,0.0,0.0,,2.58,0.0,79.92,0.02,0.0,0.15,0.0,0.0,0.0,1.08,0.56,0.06,
Chocolate-Hashberry,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Berry,Earthy,Sweet","Chocolate Hashberry is an aromatic strain with quality effects and beautiful foliage. With a smell indicative of its name, Chocolate Hashberry reeks of chocolate, hashy spice, and sweet berries. This delicious scent comes from combining two fantastic Kush cuts, Chocolate Kush and Blackberry Kush. On top of its excellent flavor and aroma, Chocolate Hashberry’s Kush lineage offers a delightful mid-level sedation and a relaxed mental state that helps curb anxiety and minor pain while enhancing mood and focus. ",,,,,,0.0,0.004,0.01,0.0,0.001,0.0,0.0,0.029,0.001,0.003,0.025,0.114,0.013,0.0,0.303,0.792,,0.03,0.173,0.0,0.0,,0.63,0.0,17.65,0.0,0.0,0.08,0.0,0.0,0.0,1.13,0.04,0.0,
Chocolate-Kush,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Earthy,Sweet,Woody","Chocolate Kush, bred by 00 Seeds, is a powerful indica strain that captures the best of its two parent strains. Mazar, with its resin-oozing buds, lends its potent full-body euphoria while its other pure indica parent passes on a pungent aroma of hashy incense and chocolate. This strain grows into medium-sized plants with a Christmas tree structure and flowers in 56 to 60 days. The sativa-dominant Chocolope Kush sometimes goes by the name Chocolate Kush, so be sure to confirm this strain’s genetics with your budtender if you’re looking for the heavy-handed indica.",,,,,,0.0,0.012,0.15,0.0,0.003,0.147,0.0,0.157,0.022,0.044,0.173,0.547,0.08,0.0,1.704,0.085,,0.107,0.339,0.0,0.0,,4.18,0.0,69.74,0.0,0.0,0.28,0.0,0.0,0.0,2.03,0.33,0.0,
Chocolate-Thai,sativa,4.2,"Uplifted,Happy,Energetic,Focused,Creative","Spicy/Herbal,Coffee,Woody","A legendary landrace strain from Thailand, Chocolate Thai first made an appearance in the U.S. sometime in the 1960s as “Thai sticks,” spindly flowers tied to a bamboo stick that were renowned for their potent high. Old school heads remember these buds as slender and airy, medium-to-dark brown in color, and possessing a unique chocolate-coffee aroma. Due to the fact that it was a long-flowering, low-yielding sativa strain that always produced male flowers and seeds and was incredibly difficult to clone and grow, it is most likely that Chocolate Thai no longer exists in its original form. There are several seed lines sold under the name, but these have either been crossbred to provide some stabilizing traits or are of unknown provenance.     ",,,,,,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.024,0.1,0.103,0.0,0.287,0.75,,0.054,0.018,0.0,0.0,,1.89,0.0,20.78,0.0,0.0,0.05,0.0,0.0,0.0,0.17,0.06,0.05,
Chocolope,sativa,4.3,"Happy,Uplifted,Energetic,Focused,Euphoric","Coffee,Earthy,Sweet","DNA Genetics developed Chocolope by crossing Chocolate Thai with Cannalope Haze to create their homage to the Chocolate strains of the 1980s. The hefty sativa buds give earthy, sweet coffee flavors that provide a dreamy, cerebral effect. Consumers report a strong, euphoric mental shift that is great when coping with depression or stress.",,,,,,0.0,0.0,0.277,0.0,0.0,0.015,0.0,0.122,0.0,0.011,0.467,0.685,0.033,0.0,2.027,0.078,,0.055,0.227,0.0,0.0,,2.8,0.0,69.89,0.0,0.0,0.17,0.0,0.0,0.0,1.46,0.21,0.0,
Chocolope-Kush,hybrid,4.0,"Happy,Creative,Focused,Uplifted,Euphoric","Earthy,Sweet,Vanilla","Chocolope Kush, also known as Chocolate Kush, is a sativa-dominant strain is from the lineage of Chocolope (multiple Cannabis Cup winner) and Kosher Kush. Kosher Kush has been the front runner in each cannabis event it has competed in and has been published by High Times as the 7th overall strongest strain in the world. The buds on Chocolope Kush are dense and dark colored with a large amount of white crystals. It is known to have the aroma of vanilla mixed with chocolate. The high is described as a heavy cerebral one, and has a THC content of up to 14% along with a CBD of approximately 1%.",,,,,,0.0,0.011,0.008,0.0,0.0,0.044,0.0,0.185,0.0,0.007,0.0,0.05,0.039,0.0,0.112,0.636,,0.062,0.336,0.0,0.0,,0.73,0.0,22.82,0.0,0.0,0.09,0.0,0.0,0.0,0.79,0.1,0.0,
Citrus-Sap,hybrid,4.4,"Happy,Euphoric,Relaxed,Uplifted,Energetic","Citrus,Orange,Pungent","From Crockett Family Farms and DNA Genetics, Citrus Sap is a hybrid cross between Gorilla Glue #4 and Tangie. Growers can expect high yields, heavy resin production, and a sweet mandarin orange aroma, as well as a high calyx-to-leaf ratio. Its flowering time averages between 65 to 70 days.",,,,,,0.0,0.0,0.0,0.0,0.0,0.206,0.0,0.28,0.0,0.0,0.212,0.276,0.138,0.0,0.956,0.286,,0.133,1.094,0.0,0.0,,3.31,0.0,78.09,0.09,0.0,0.11,0.0,0.0,0.0,1.19,0.21,0.0,
Clementine,sativa,4.3,"Happy,Energetic,Focused,Uplifted,Euphoric","Citrus,Orange,Sweet","Clementine is a sweet, citrus flavored sativa hybrid that combines Tangie with Lemon Skunk genetics. The concentrated live resin of Clementine from Crocket Family Farms took home 2nd Place for the Best Sativa Concentrate at the 2015 Cannabis Cup in Michigan.",,,,,,0.0,0.0,0.03,0.007,0.0,0.0,0.0,0.206,0.019,0.058,0.053,0.203,0.0,0.0,0.518,0.041,,0.0,0.035,0.01,0.0,,1.1,0.07,79.44,0.03,0.0,0.2,0.0,0.0,0.0,4.34,0.29,0.0,
Cold-Creek-Kush,hybrid,4.3,"Relaxed,Happy,Hungry,Euphoric,Uplifted","Earthy,Pine,Woody","Cold Creek Kush is an indica-dominant hybrid that crosses the powerful MK Ultra and fellow Colorado native Chemdawg 91. The work of T.H. Seeds, this strain nabbed 2nd place at the 2010 High Times Cannabis Cup in the indica category. Cold Creek Kush flowers at 9 to 11 weeks, but must have adequate room to stretch out its limbs. Piney and sour, users rave over its fresh taste and balanced effects, which are relaxing without being too sleepy.",,,,,,0.0,0.01,0.008,0.0,0.004,0.0,0.0,0.089,0.0,0.003,0.046,0.096,0.036,0.0,0.312,0.478,,0.071,0.333,0.0,0.0,,2.03,0.0,18.74,0.0,0.0,0.04,0.0,0.0,0.0,0.5,0.13,0.03,
Cookies-And-Cream,hybrid,4.6,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Sweet,Vanilla,Earthy","Bred by Exotic Genetix, Cookies and Cream is a hybrid cross between Starfighter and an undisclosed Girl Scout Cookies phenotype. This sweet-tasting variety provides long-lasting relief for patients treating symptoms throughout the day, but high doses can induce an early night’s sleep. Cookies and Cream took first place in the hybrid category of the 2014 Denver Cannabis Cup.",,,,,,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.103,0.054,0.0,0.282,0.148,,0.097,0.435,0.0,0.0,,0.82,0.0,26.17,0.0,0.0,0.02,0.0,0.0,0.0,1.5,0.06,0.0,
Cracker-Jack,sativa,4.2,"Energetic,Creative,Focused,Happy,Euphoric","Sweet,Woody,Citrus",This cannabis sativa strain combines Jack Herer with Green Crack to produce a potent buzz.  ,,,,,,0.034,0.0,0.006,0.004,0.001,0.0,0.007,0.004,0.151,0.923,0.002,0.119,0.052,0.031,0.312,0.104,,0.08,0.088,0.014,0.0,,0.98,0.0,20.74,0.01,0.0,0.07,0.0,0.0,0.0,0.87,0.14,0.0,
Critical-Jack,hybrid,4.4,"Energetic,Creative,Happy,Focused,Uplifted","Pine,Citrus,Woody","Critical Jack, a hybrid cross between Critical Plus and Jack Herer, delivers functional cerebral effects with a flavorful blend of lemon, pine, and floral aromas. Its effects are light on the body and stimulating to the mind, allowing one to fixate their attention strongly on whatever task is at hand. Uplifting qualities make Critical Jack a popular daytime remedy for depression, appetite loss, and headaches. Critical Jack’s harvest falls between late September and early October outdoors, while indoor gardens will finish around day 60 of flowering.",,,,,,0.029,0.0,0.0,0.005,0.0,0.0,0.0,0.032,0.195,0.717,0.041,0.121,0.077,0.02,0.337,0.124,,0.11,0.136,0.008,0.0,,0.63,0.0,22.3,0.0,0.0,0.1,0.0,0.0,0.03,1.76,0.17,0.0,
Critical-Kush,indica,4.5,"Relaxed,Happy,Sleepy,Euphoric,Uplifted","Earthy,Pungent,Sweet","Critical Kush from Barney’s Farm is a mostly indica strain that blends together two famed cannabis staples, Critical Mass and OG Kush. Aromatic notes of earthiness and spice usher in a calming sensation that relaxes the mind and body. Critical Kush pairs a staggeringly high THC content with a moderate dose of CBD, making this strain a perfect nighttime medication for pain, stress, insomnia, and muscle spasms. Growers cultivating this strain indoors will wait 50 to 60 days for Critical Kush to complete its flowering cycle.",,,,,,0.019,0.0,0.008,0.0,0.0,0.053,0.0,0.019,0.363,0.562,0.04,0.084,0.042,0.015,0.211,0.125,,0.054,0.132,0.01,0.002,,2.58,0.0,14.62,0.04,0.0,0.11,0.0,0.0,0.0,4.26,0.25,0.06,
Crypt,hybrid,4.4,"Relaxed,Euphoric,Focused,Happy,Uplifted","Sweet,Cheese,Pungent","Crypt from Northern California is an indica-dominant hybrid with a mysterious lineage. Its aroma falls on the border between sweet and sour, blending pine, lemon, and cheese flavors.",,,,,,0.013,0.003,0.0,0.0,0.0,0.0,0.0,0.019,0.084,0.309,0.022,0.017,0.031,0.008,0.064,0.394,,0.056,0.134,0.006,0.0,,0.41,0.0,17.83,0.0,0.0,0.05,0.0,0.0,0.0,0.59,0.05,0.0,
Dj-Short-Blueberry,indica,4.4,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Blueberry,Sweet,Berry","DJ Short Blueberry is a living legend. This is, was, and forever will be the west coast Blueberry varietal. The strain is sought after and has been spliced into many different hybridized strains. DSBs genetics stem from DJ Short’s travels through Central America and Southeast Asia, where he gathered robust landrace genetics that would later blossom into some of the most legendary cannabis strains on the planet. Finding a true cut of DSB is harder than it sounds, but if you do, savor it. You are literally igniting a piece of cannabis history. Expect beautiful sedative effects that are second only to the incredible berry flavor of this flower.  ",,,,,,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.38,0.569,0.0,0.074,0.044,0.023,0.204,0.123,,0.062,0.108,0.0,0.0,,2.33,0.0,16.0,,0.0,0.08,0.0,0.0,0.0,1.5,0.14,0.02,
Dark-Star,indica,4.4,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Earthy,Pungent,Skunk","Dark Star’s true indica effects are as spacey as its name suggests: a deep, relaxed sensation throughout the body accompanied by a heavy cerebral calm. Though celestial in its effects, the strain is more likely homage to the Grateful Dead’s song “Dark Star.” A cross between Purple Kush and Mazar-I-Sharif, Dark Star is a CBD-rich indica ideal for treating pain and anxiety. This dark--almost bluish--strain was first bred indoors by T.H. Seeds, and comes as a challenge to many growers with its slow, 10-week flowering period. Its sour-smelling buds are dense and compact, ornamented with crystals and copper hairs. ",,,,,,0.016,0.005,0.003,0.003,0.001,0.034,0.0,0.021,0.09,0.303,0.0,0.013,0.258,0.009,0.043,0.707,,0.144,0.097,0.007,0.0,,2.6,0.0,22.16,0.0,0.0,0.07,0.0,0.0,0.0,1.72,0.15,0.03,
Deadhead-Og,hybrid,4.4,"Uplifted,Relaxed,Happy,Euphoric,Creative","Earthy,Pine,Diesel","A modern West Coast classic, Deadhead OG was created by master breeder Skunk VA of Cali Connection Seeds by crossing two already legendary strains, Chemdawg 91 and the SFV OG Kush.  Known as a very hearty and pungent strain, most phenotypes present an earthy, piney smell and taste, though some can lean more to the diesel aromas of the SFV.  As a cross of two very potent strains, Deadhead OG regularly reaches THC levels over 20%.  Most users describe the high as cerebral and stimulating but with a relaxed body feel.",,,,,,0.0,0.009,0.005,0.0,0.0,0.048,0.006,0.057,0.002,0.008,0.017,0.095,0.347,0.0,0.204,1.667,,0.184,0.199,0.0,0.0,,0.76,0.0,23.43,0.0,0.0,0.07,0.0,0.0,0.0,0.15,0.05,,
Death-Star,indica,4.6,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Earthy,Diesel,Pungent","Death Star is the potent cross of Sensi Star and Sour Diesel and has the shared sativa and indica effects of its parents. It has a mixed taste that combines sweet, skunk, and fuel aromas into a very potent fragrance that isn’t easy to hide. This strain may not have the ability to destroy planets, but it does have quite the powerful buzz. Effects can be slow to onset, but once they do, Death Star takes away all cares and replaces them with a state of relaxed euphoria. Great for daytime or nighttime use, this Ohio native now has fans throughout the galaxy.",,,,,,0.0,0.012,0.023,0.0,0.0,0.0,0.0,0.103,0.0,0.043,0.0,0.194,0.038,0.0,0.578,0.139,,0.077,0.315,0.0,0.0,,0.36,0.0,14.14,0.04,0.0,0.09,0.0,0.01,0.01,0.63,0.03,0.01,
Deep-Sleep,indica,4.5,"Relaxed,Euphoric,Sleepy,Tingly,Happy","Pungent,Earthy,Sweet","Also known as P.O. 4, Deep Sleep is a cross of the Larry OG and Pre-98 Bubba Kush from North Hollywood breeders Progressive Options. This indica-dominant hybrid is quite aptly named, as it quickly reduces users to a puddle of sleepy relaxation. The flavor of Deep Sleep is very sweet and fruity on the inhale with a nice OG funk on the exhale. Fans of OG Kush will love these thick, resinous, purple-tinted flowers.",,,,,,0.0,0.007,0.005,0.0,0.0,0.0,0.0,0.04,0.0,0.003,0.031,0.036,0.117,0.0,0.129,0.493,,0.073,0.106,0.0,0.0,,0.59,0.0,19.0,0.0,0.0,0.04,0.0,0.0,0.0,0.16,0.05,0.0,
Diablo,indica,4.1,"Happy,Tingly,Euphoric,Creative,Uplifted","Sweet,Earthy,Spicy/Herbal","With lineage from Grapefruit, Blueberry and South African Sativa, there is a sweet flavor to the Diablo cannabis strain. This indica has a purple hue, fruity and spicy flavors, and a THC content that tends to fall between 15-20%. Diablo has an indoor flowering time of 6-7 weeks and took second place at the 2002 BC Harvest Cup in the outdoor category.",,,,,,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.032,0.102,0.04,0.0,0.311,0.602,,0.081,0.36,0.0,0.0,,0.62,0.0,22.5,0.0,0.0,0.05,0.0,0.0,0.0,0.64,0.1,0.0,
Diamond-Og,indica,4.5,"Relaxed,Sleepy,Happy,Uplifted,Euphoric","Earthy,Spicy/Herbal,Pine","Diamond OG is a precious gem of a strain that patients love for its potent and long-lasting effects. A true indica, this strain induces full-body relaxation that nixes pain and muscle spasms before settling into an overall laziness. It can leave you mentally euphoric in smaller doses, but it’s definitely not one for times when work or even wakefulness needs to happen. Diamond OG is the result of an unknown strain crossed with OG Kush and has the familiar OG aroma of citrus-pine supported by fuel undertones. These sparkling nugs will be condensed and have a strong odor; they’re definitely a beauty to show off. ",,,,,,0.0,0.0,0.073,0.0,0.0,0.041,0.026,0.208,0.0,0.0,0.137,0.177,0.0,0.0,0.494,0.0,,0.0,0.01,0.0,0.0,,6.11,0.1,72.86,0.06,0.0,0.22,0.0,0.0,0.0,2.02,0.32,0.3,
Dirty-Girl,sativa,4.5,"Uplifted,Happy,Focused,Euphoric,Energetic","Citrus,Sweet,Lemon","Dirty Girl is a sativa-dominant cross of a Trainwreck hybrid, known as Arcata Lemon Wreck, and Cinderella 99. The combination produces a tropical aroma of pineapples and citrus fruit with a sharp pungent note reminiscent of Pine Sol.  The flavor of Dirty Girl is like sweet lemon candy and the effects it produces are happy and creative. Dirty Girl will elevate your mood and help avoid the complications of depression, anxiety, and migraine headaches.",,,,,,0.0,0.005,0.007,0.0,0.0,0.067,0.0,0.028,0.0,0.0,0.003,0.037,0.133,0.0,0.14,0.773,,0.083,0.097,0.0,0.0,,0.75,0.0,16.25,0.05,0.0,0.05,0.0,0.0,0.02,0.6,0.08,0.0,
Do-Si-Dos,indica,4.8,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Earthy,Sweet,Pungent","Do-Si-Dos is an indica-dominant hybrid with qualities similar to its parent, Girl Scout Cookies. With glittering trichomes, bright pistils, and lime green and lavender leaves, this strain is a feast for eyes. Its aroma is pungent, sweet, and earthy with slight floral funkiness. These classic OG aromas blend nicely with medical-grade body effects that lean toward the sedative side with the addition of Face Off OG genetics. Enjoy a stoney, in-your-face buzz off the start that melts down over the body, prettifying the consumer with relaxation that emanates outward. ",,,,,,0.0,0.025,0.093,0.0,0.003,0.0,0.0,0.541,0.0,0.01,0.207,0.376,0.133,0.0,1.188,0.201,,0.181,0.769,0.0,0.0,,2.2,0.0,70.13,0.06,0.0,0.17,0.0,0.0,0.0,2.5,0.39,0.0,
Double-Dream,hybrid,4.5,"Uplifted,Relaxed,Happy,Focused,Euphoric","Sweet,Earthy,Berry","The sativa-dominant hybrid Double Dream puts a unique spin on the famed Blue Dream by crossing it with Dream Star. With a complex flavor profile that synchronizes sweet floral notes with berries and spice, Double Dream is a soothing and mentally invigorating strain that still allows clear-headed functionality. Its dreamy, euphoric buzz is anchored by a deep, physical relaxation that mutes pain, anxiety, stress, and inflammation. Patients also turn to this uplifting strain for daytime release from PTSD, headaches, and nausea.",,,,,,0.0,0.009,0.01,0.002,0.0,0.0,0.0,0.064,0.0,0.003,0.041,0.068,0.545,0.0,0.198,0.736,,0.236,0.078,0.0,0.0,,0.72,0.0,23.89,0.0,0.0,0.09,0.0,0.0,0.0,0.18,0.06,0.0,
Double-Og,indica,4.6,"Sleepy,Happy,Euphoric,Relaxed,Focused","Earthy,Diesel,Skunk","Double OG combines the powerhouse indica properties of Big Bud Afgoo and SFV OG to create a sedating strain ideal for body aches and sleepless nights. Though often regarded as too potent for novices, Double OG’s knock-out effects are well-suited for experienced consumers with a high THC tolerance. Deep relaxation of the mind and body brings relief to stress and anxiety, while also calming muscle spasms, tremors, and pain.",,,,,,0.0,0.012,0.034,0.0,0.005,0.003,0.0,0.073,0.001,0.008,0.258,0.306,0.039,0.0,0.702,0.413,,0.083,0.519,0.0,0.0,,0.68,0.0,19.44,0.0,0.0,0.05,0.0,0.0,0.0,0.36,0.1,0.0,
Dragon-Og,hybrid,4.4,"Uplifted,Happy,Relaxed,Euphoric,Focused","Diesel,Berry,Tropical","Dragon OG (or Red Dragon OG) is a sativa-dominant hybrid cross between Red Dragon and OG Kush. Red Dragon adds gentle invigoration to OG Kush’s mid-level sedation and pleasant euphoria. This heady hybrid offers mood-boosting mental stimulation and relaxing body effects that stick to the bones. Enjoy this strain throughout the day to boost creativity and combat moderate pain, but beware: this potent combination can be overstimulating in large doses.  ",,,,,,0.0,0.013,0.008,0.0,0.003,0.0,0.0,0.074,0.0,0.005,0.086,0.098,0.041,0.0,0.339,0.192,,0.084,0.445,0.0,0.0,,0.68,0.0,25.53,0.0,0.0,0.08,0.0,0.0,0.0,0.91,0.11,0.0,
Dream-Beaver,sativa,4.7,"Happy,Uplifted,Energetic,Talkative,Creative","Pineapple,Woody,Spicy/Herbal","Dream Beaver by Bodhi Seeds is a sativa-dominant strain that crosses Dirty Hippy (an Afghooey-Blockhead hybrid) with Appalachia. With subdued flavors of fresh cedar and earthy spice, Dream Beaver deals a mellow buzz that lets you stay active, productive, and social. This sativa is a great choice for unleashing laughing fits and creative sparks on those days when your mood and motivation could use a lift.",,,,,,0.0,0.009,0.024,0.0,0.005,0.0,0.003,0.027,0.066,0.006,0.011,0.175,0.427,0.0,0.474,1.953,,0.21,0.309,0.0,0.0,,1.22,0.0,21.1,0.0,0.0,0.05,0.0,0.0,0.0,0.78,0.11,0.0,
Dream-Berry,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Giggly","Berry,Citrus,Diesel","Dream Berry is a sweet, fruity cross between Blue Dream and Blackberry. Its calming indica qualities prevail over its sativa genetics. The breeders at Apothecary Genetics recommend a short 6 to 7 week flowering time for indoor gardens, or the end of September for outdoor cultivators. ",,,,,,0.003,0.012,0.138,0.029,0.003,0.074,0.0,0.061,0.024,0.032,0.137,0.221,0.304,0.002,0.615,0.376,,0.215,0.257,0.002,0.0,,1.97,0.0,67.76,0.0,0.0,0.2,0.0,0.0,0.0,1.62,0.12,0.0,
Dream-Queen,hybrid,4.3,"Happy,Uplifted,Euphoric,Relaxed,Energetic","Citrus,Sweet,Earthy","Dream Queen is an aptly named sativa-dominant hybrid that will leave you in a euphoric, dream-like state after a few puffs. A cross of two beloved strains, Blue Dream and Space Queen, it offers intense odors reminiscent of pineapple and bubblegum, and flavors of citrus, menthol and hash when vaped or smoked. Dream Queen’s very frosty, light green flowers will have you sticking your nose back in the jar again and again to experience their delicious fruity aroma.",,,,,,0.0,0.015,0.045,0.0,0.0,0.0,0.0,0.28,0.107,0.0,0.364,0.336,0.285,0.0,0.78,0.329,,0.162,0.167,0.0,0.0,,3.23,0.0,70.78,0.11,0.0,0.15,0.0,0.0,0.0,4.02,0.66,0.12,
Durban-Poison,sativa,4.4,"Energetic,Happy,Uplifted,Euphoric,Focused","Earthy,Sweet,Pine","This pure sativa originates from the South African port city of Durban. It has gained notoriety worldwide for its sweet smell and energetic, uplifting effects. Durban Poison is the perfect strain to help you stay productive through a busy day, when exploring the outdoors, or to lend a spark of creativity. Growers and concentrate enthusiasts will both enjoy the over-sized resin glands which make this strain a quality choice for concentrate extraction. The buds are round and chunky, and leave a thick coating of trichomes on almost all areas of the plant.",,,,,,0.02,0.008,0.189,0.002,0.002,0.0,0.0,0.0,0.0,1.087,0.02,2.082,0.054,0.024,3.913,0.069,,0.136,0.235,0.004,0.004,,79.94,0.0,0.0,0.89,0.75,0.0,0.21,0.0,0.0,0.0,2.26,2.56,
