Strain,Type,Rating,Effects,Flavor,Description,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
Lemon-G,sativa,4.4,"Relaxed,Euphoric,Happy,Uplifted,Creative","Lemon,Sweet,Pungent","Lemon G is the pride of Ohio, representing the Midwest among all the Dutch and West Coast strains out there. Potent, well-focused and even, this sativa hybrid is a daughter of Original G13. As this is not a pure sativa, relaxing indica effects tend to show up first after consuming Lemon G. Over time, however, the upbeat, euphoric, and giggly sativa effects begin to emerge. Lemon G is a sociable strain and, as the name suggests, has a strong lemon fragrance. Taste-wise, this strain is fairly mellow and does not necessarily exhibit the strong citrus properties found in its scent.",,,,,,0.0,0.018,0.197,0.049,0.111,0.611,0.0,0.641,0.16,0.156,1.662,0.638,0.12,0.0,2.077,1.161,,0.162,0.34,0.0,0.0,,4.92,0.0,69.23,0.24,0.0,0.18,0.0,0.0,0.0,1.42,0.31,0.04,
Lemon-Haze,sativa,4.3,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Lemon,Citrus,Sweet","Lemon Haze has been characterized as smelling of fresh peeled lemon slices with a similar taste. Its buds appear to be green and yellow with amber hairs on the trichomes, giving it the yellow tint. This strain's THC has been measured at about 15-20% with a CBD of 0.38%. ",,,,,,0.033,0.003,0.016,0.005,0.003,0.001,0.009,0.036,0.296,0.925,0.009,0.182,0.048,0.016,0.517,0.187,,0.088,0.147,0.018,0.003,,0.61,0.0,21.14,0.0,0.0,0.06,0.0,0.0,0.0,1.61,0.18,0.0,
Lemon-Kush,hybrid,4.1,"Relaxed,Happy,Euphoric,Uplifted,Energetic","Lemon,Citrus,Earthy","The general consensus surrounding Lemon Kush is that is a cross between Master Kush and Lemon Joy. However, breeder specific variations exist. Alien Genetics, for example, explains their Lemon Kush as a hybrid between Lemon G, a prized strain from Ohio, and an Afghan Kush. The genetics are the only area of dispute as everyone will agree that the sweet flavors of lemon and citrus mix exceptionally well with the earthy kush undertones. The light green buds are covered in a white frosting of trichomes and provide uplifting and creative effects. Lemon Kush is the perfect solution for when the stresses of life have you feeling sour.",,,,,,0.0,0.013,0.018,0.0,0.011,0.081,0.0,0.218,0.003,0.009,0.053,0.129,0.046,0.0,0.409,0.217,,0.085,0.659,0.0,0.0,,0.78,0.0,26.91,0.0,0.0,0.07,0.0,0.0,0.0,0.83,0.13,0.0,
Lemon-Meringue,sativa,4.7,"Uplifted,Happy,Energetic,Creative,Relaxed","Lemon,Citrus,Sweet","Lemon Meringue by Exotic Genetix is a sweet, zestful cross of Lemon Skunk and Cookies and Cream. This pungent combo emits a variety of aromas including citrus, diesel, and nuttiness, but at the center of this bouquet is a tart slice of lemon meringue pie with a fat dollop of whipped cream on top. Lemon Meringue offers uplifting mental effects and sativa-driven energy that encourages physical activity. This strain’s subtle motivational qualities and pleasant euphoria make it a go-to for folks combating fatigue, depression, and minor headaches.    ",,,,,,0.0,0.014,0.007,0.0,0.0,0.053,0.0,0.197,0.0,0.033,0.002,0.065,0.045,0.0,0.141,1.24,,0.083,0.256,0.0,0.0,,0.3,0.0,33.37,0.0,0.0,0.08,0.0,0.0,0.0,0.74,0.16,0.0,
Lemon-Og,hybrid,4.3,"Relaxed,Euphoric,Happy,Sleepy,Uplifted","Lemon,Citrus,Earthy","What this skunky indica lacks in longevity it makes up for in speed. A cross between the mythical Las Vegas Lemon Skunk and The OG #18, Lemon OG provides users with a quick-acting sleepy head sensation. While Lemon OG has inherited a skunky aroma from its kush relatives, this particular strain is mild tasting and pleasant smelling with fruity undertones. Lemon OG tends to feel more psychoactive than other members of the kush family, but still offers a heavy, medicated feel. The strain is great for stress relief and increasing appetite. These plants usually flower in 8-10 weeks.",,,,,,0.0,0.012,0.166,0.027,0.019,0.0,0.0,0.47,0.011,0.013,0.523,0.562,0.096,0.0,1.419,0.261,,0.109,0.489,0.0,0.0,,4.6,0.0,67.65,0.0,0.05,0.9,0.0,0.0,0.0,1.47,0.19,0.06,
Lemon-Skunk,hybrid,4.3,"Happy,Uplifted,Relaxed,Euphoric,Focused","Lemon,Skunk,Citrus","Lemon Skunk was conceived from two separate Skunk phenotypes that displayed exceptionally zesty lemon traits. The skunky, citrus flavor draws you in immediately, and the happy, energetic buzz will shake you out of any funk. DNA Genetics has developed Lemon Skunk as great strain for combating depression and stress.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.0,0.0,0.021,0.175,0.042,0.0,0.464,0.364,,0.08,0.409,0.0,0.0,,1.67,0.0,25.86,0.0,0.0,0.02,0.0,0.0,0.0,0.7,0.1,0.0,
Lemon-Thai,sativa,4.1,"Focused,Happy,Creative,Talkative,Energetic","Lemon,Citrus,Earthy","Lemon Thai is great for those looking for a little extra creative spark. Originally produced by Dutch Flowers, Lemon Thai is a cross between a Thai sativa and a Hawaiian strain. Taking after its Thai parentage, the effects of this strain are extremely cerebral, allowing users to feel introspective, focused, and thoughtful. This strain features a pleasant lemony-mint taste and typically flowers in 10 weeks. Lemon Thai produces high yields both indoors and outdoors but appreciates a lot of space to grow.",,,,,,0.0,0.016,0.175,0.039,0.0,0.165,0.0,0.075,0.0,0.024,0.25,0.359,0.083,0.0,1.144,0.21,,0.078,0.19,0.0,0.0,,2.08,0.0,63.02,0.1,0.0,0.17,0.0,0.0,0.0,2.6,0.16,0.11,
Lemonhead-Og,hybrid,4.9,"Relaxed,Uplifted,Happy,Euphoric,Creative","Lemon,Citrus,Sweet","Lemonhead OG by Royal Choice Farms is a gleeful Kush cut with bright, refreshing terpenes. Sweet on the nose and the palate, this strain offers consumers a clean, zestful lemon flavor coupled with a lung-expanding mint/eucalyptus. As with many OG strains, euphoria takes the lead, elevating the consumer’s mood and provoking both smiles and laughter. The effects remain peppy as they transition into the body, leaving a warm and fuzzy sensation without being overly stimulating.   ",,,,,,0.0,0.01,0.008,0.0,0.004,0.0,0.0,0.092,0.0,0.008,0.035,0.04,0.036,0.0,0.126,0.594,,0.068,0.317,0.0,0.0,,1.32,0.0,17.45,0.0,0.0,0.05,0.0,0.0,0.0,0.46,0.09,0.0,
Limon,sativa,4.8,"Happy,Creative,Euphoric,Energetic,Giggly","Lemon,Citrus,Diesel","Created by LivWell, Limon is a sativa-dominant strain that blends Sour Diesel, Strawberry Diesel, and NYC Diesel. With notes of diesel and skunk in flavor, these bright green frosty buds will leave you with an uplifting and long-lasting cerebral buzz.",,,,,,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.015,0.0,0.045,0.058,0.0,0.126,1.283,,0.102,0.635,0.0,0.0,,0.44,0.01,28.76,0.01,0.0,0.09,0.0,0.0,0.0,2.18,0.14,0.02,
Locktite,hybrid,4.3,"Relaxed,Happy,Uplifted,Tingly,Euphoric","Diesel,Citrus,Woody","Using their Mt. Rainier hybrid and crossing it with the award-winning Gorilla Glue #4, RedEyed Genetics created the sticky Locktite. Scents of citrus and diesel overwhelm you as you enjoy this tasty flower engulfed in trichomes. Taking after the Gorilla Glue in effect and certainly in resin production, this is an upbeat and powerful strain.",,,,,,0.0,0.005,0.014,0.0,0.0,0.099,0.0,0.077,0.038,0.0,0.077,0.244,0.036,0.0,0.586,0.48,,0.05,0.1,0.0,0.0,,1.59,0.01,20.19,0.06,0.0,0.07,0.0,0.0,0.0,0.5,0.05,0.02,
Lucky-Charms,hybrid,4.5,"Euphoric,Happy,Relaxed,Uplifted,Tingly","Berry,Sweet,Citrus","Lucky Charms from Bodhi Seeds is potent hybrid cross between The White and Appalachia. It may be named after breakfast cereal, but this strain tastes far more like tangy fruit than it does marshmallows. Lucky Charms does, however, boast an enticing coat of sugary resin inherited from its trichome-heavy parent, The White. When grown indoors, Lucky Charms flowers after 9 weeks.",,,,,,0.0,0.027,0.014,0.0,0.028,0.0,0.0,0.298,0.002,0.013,0.163,0.35,0.102,0.0,1.199,0.316,,0.162,1.081,0.0,0.0,,1.23,0.0,23.94,0.0,0.0,0.08,0.0,0.0,0.0,4.6,0.18,0.03,
Mango,indica,4.1,"Relaxed,Sleepy,Happy,Euphoric,Focused","Mango,Earthy,Sweet","The Mango cannabis strain has been around since the early 1960s. In 1991, it was crossed with KC 33 to give us the current Mango strain. Its buds have been known to grow very large, about the size of a softball, and can be up to a foot and a half in length. The foliage turns to a deep red/purple color with a smell and taste of sweet mango. Mango takes 9 to 11 weeks to flower and has a THC content of 15-20%.",,,,,,0.0,0.005,0.008,0.0,0.0,0.0,0.0,0.053,0.204,0.002,0.08,0.089,0.088,0.0,0.235,0.464,,0.054,0.097,0.0,0.0,,0.73,0.0,18.66,0.0,0.0,0.06,0.0,0.0,0.0,1.58,0.13,0.0,
Mango-Haze,sativa,4.6,"Happy,Relaxed,Euphoric,Focused,Uplifted","Mango,Sweet,Tropical","Mango Haze is a mostly sativa strain bred by Mr. Nice Seeds, who crossed Northern Lights #5, Skunk, and Haze to create this uplifting, fruity variety. Though similar to its sibling strain Super Silver Haze, Mango Haze exhibits a distinctive mango aroma coupled with a buzzing cerebral sensation. ",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.035,0.361,0.0,0.101,0.643,,0.144,0.075,0.0,0.0,,0.29,0.15,20.2,0.0,0.0,0.08,0.0,0.0,0.02,0.2,0.04,0.0,
Mango-Tango,hybrid,4.6,"Relaxed,Happy,Euphoric,Giggly,Sleepy","Mango,Tropical,Citrus","Mango Tango is a hybrid cannabis strain by Elemental Seeds whose crushing indica effects dance with a pungent, fruity flavor profile. Its True OG parent passes on heavily relaxing effects typical of Kush varieties while its loud citrus and peach flavors come from Tangie and Peaches genetics. A subtle pine flavor can be detected on the exhale, creating a complex taste that helped this strain win 1st place in the 2015 SoCal Cannabis Cup.  ",,,,,,0.0,0.002,0.003,0.0,0.0,0.0,0.0,0.087,0.033,0.007,0.015,0.06,0.018,0.0,0.201,1.272,,0.044,0.179,0.0,0.0,,0.51,0.0,25.06,0.0,0.0,0.09,0.0,0.0,0.0,0.18,0.14,0.0,
