Name,Type,Alias,Rating,Num_Reviews,THC%,Other_Cannabinoids,Main_Effect,Terpene,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
XXX OG,Indica,,4.5,311.0,THC 21%,CBD 0%,Sleepy,Myrcene,,,,,,0.0,0.005,0.005,0.0,0.0,0.003,0.006,0.054,0.057,0.007,0.029,0.055,0.316,0.0,0.19,0.272,,0.096,0.06,0.0,0.0,,0.86,0.0,15.65,0.0,0.0,0.04,0.0,0.0,0.0,0.56,0.04,0.0,
Doc’s OG,Hybrid,aka Doc OG,4.6,32.0,THC 16%,CBD 0%,Euphoric,Myrcene,,,,,,0.0,0.012,0.009,0.0,0.0,0.0,0.0,0.266,0.0,0.009,0.095,0.148,0.043,0.0,0.506,0.707,,0.088,0.534,0.0,0.0,,0.93,0.0,19.54,0.0,0.0,0.04,0.0,0.0,0.0,0.24,0.19,0.0,
Banana Sherbet,Hybrid,aka Banana Sherbert,4.5,15.0,THC 22%,CBG 1%,Giggly,Limonene,,,,,,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.094,0.03,0.0,0.13,0.149,,0.054,0.344,0.0,0.0,,0.21,0.0,17.5,0.0,0.0,0.07,0.0,0.0,0.0,0.32,0.09,0.0,
Now and Later,Hybrid,aka Now N Later,4.0,21.0,THC 23%,CBG 1%,Tingly,Myrcene,,,,,,0.0,0.005,0.008,0.0,0.0,0.003,0.0,0.074,0.069,0.004,0.066,0.031,0.149,0.0,0.098,0.694,,0.051,0.116,0.0,0.0,,5.47,0.0,20.82,0.0,0.02,0.06,0.0,0.0,0.0,0.9,0.21,0.22,
Black Dog,Indica,aka Black D.O.G.,4.6,83.0,THC 19%,CBG 1%,Sleepy,Limonene,,,,,,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.142,0.0,0.0,0.021,0.039,0.037,0.0,0.16,0.064,,0.065,0.378,0.0,0.0,,0.21,0.01,16.87,0.0,0.0,0.07,0.0,0.0,0.0,1.02,0.07,0.0,
Citrus Sap,Hybrid,,4.5,182.0,THC 19%,CBD 0%,Uplifted,Myrcene,,,,,,0.0,0.0,0.0,0.0,0.0,0.206,0.0,0.28,0.0,0.0,0.212,0.276,0.138,0.0,0.956,0.286,,0.133,1.094,0.0,0.0,,3.31,0.0,78.09,0.09,0.0,0.11,0.0,0.0,0.0,1.19,0.21,0.0,
Nuken,Indica,,4.4,233.0,THC 26%,CBG 1%,Relaxed,Myrcene,,,,,,0.0,0.0,0.0,0.0,0.0,0.0541,0.0,0.02,0.0,0.0,0.0383,0.0563,0.306,0.0,0.192,0.93,,0.15,0.109,0.0,0.0,,3.12,0.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.15,0.0,
Dark Star,Indica,aka Darkstar,4.4,271.0,THC 20%,CBG 1%,Sleepy,Caryophyllene,,,,,,0.016,0.005,0.003,0.003,0.001,0.034,0.0,0.021,0.09,0.303,0.0,0.013,0.258,0.009,0.043,0.707,,0.144,0.097,0.007,0.0,,2.6,0.0,22.16,0.0,0.0,0.07,0.0,0.0,0.0,1.72,0.15,0.03,
Paris OG,Indica,"aka Paris OG Kush, OG Paris",4.6,332.0,THC 21%,CBD 0%,Sleepy,Limonene,,,,,,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.013,0.0,0.074,0.048,0.0,0.255,0.637,,0.092,0.453,0.0,0.0,,0.81,0.0,24.11,0.0,0.0,0.02,0.0,0.0,0.0,1.02,0.12,0.0,
Platinum Punch,Hybrid,,4.6,25.0,THC —,CBD —,Giggly,,,,,,,0.0,0.0,0.0,0.0,0.0,0.099,0.0,0.05,0.101,0.0,0.047,0.045,0.075,0.0,0.155,0.067,,0.098,0.462,0.0,0.0,,0.33,0.0,16.74,0.0,0.0,0.02,0.0,0.0,0.0,0.41,0.06,0.0,
White Berry,Indica,aka White Raspberry,4.0,186.0,THC 20%,CBD 0%,Creative,Caryophyllene,,,,,,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.204,0.037,0.0,0.58,0.488,,0.054,0.438,0.0,0.0,,73.62,0.56,0.2,0.51,3.28,0.07,0.47,0.0,0.0,0.0,2.32,0.08,
Phantom Cookies,Hybrid,aka Phantom Cookie,4.5,239.0,THC 20%,CBD 0%,Uplifted,Caryophyllene,,,,,,0.0,0.015,0.008,0.0,0.011,0.0,0.0,0.131,0.0,0.007,0.094,0.204,0.058,0.0,0.673,0.418,,0.104,0.637,0.0,0.0,,0.44,0.0,22.1,0.0,0.0,0.09,0.0,0.0,0.0,0.47,0.06,0.0,
Strawberry Fields,Indica,,4.6,173.0,THC 19%,CBG 1%,Relaxed,Terpinolene,,,,,,0.0,0.0,0.022,0.0,0.0,0.05,0.0,0.041,0.061,0.025,0.0,0.085,0.008,0.0,0.102,0.626,,0.016,0.024,0.0,0.0,,0.46,0.01,21.72,0.0,0.0,0.13,0.0,0.01,0.0,0.99,0.16,0.0,
Biker Kush,Indica,,4.4,23.0,THC 14%,CBG 1%,Happy,Limonene,,,,,,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.14,0.0,0.0,0.095,0.068,0.029,0.0,0.226,1.31,,0.071,0.52,0.0,0.0,,1.69,0.0,18.83,0.0,0.0,0.13,0.11,0.0,0.0,0.45,0.07,0.0,
